#Raw data of wavelength and flux data for the star: HD6268
        Wavelength          Flux 
      2.280064E+03        8.900532E-15
      2.280083E+03        8.599321E-15
      2.280102E+03          7.6003E-15
      2.28012E+03        5.516945E-15
      2.280139E+03        5.235591E-15
      2.280158E+03        1.192617E-14
      2.280177E+03        1.569972E-14
      2.280195E+03        1.569303E-14
      2.280214E+03        1.749388E-14
      2.280233E+03        1.436731E-14
      2.280252E+03        1.047349E-14
      2.280271E+03        7.741901E-15
      2.280289E+03        5.455745E-15
      2.280308E+03        7.871723E-15
      2.280327E+03        1.171353E-14
      2.280346E+03        1.241532E-14
      2.280364E+03        1.126168E-14
      2.280383E+03        1.203242E-14
      2.280402E+03        1.312971E-14
      2.280421E+03        1.001104E-14
      2.280439E+03        6.208753E-15
      2.280458E+03        5.765926E-15
      2.280477E+03        6.798363E-15
      2.280496E+03        7.042835E-15
      2.280515E+03        5.511454E-15
      2.280533E+03        2.890527E-15
      2.280552E+03        1.659526E-15
      2.280571E+03        4.205254E-15
      2.28059E+03        6.769471E-15
      2.280608E+03        4.844484E-15
      2.280627E+03         2.51245E-15
      2.280646E+03        1.297698E-15
      2.280665E+03       -5.300355E-16
      2.280683E+03        1.534388E-15
      2.280702E+03        4.593397E-15
      2.280721E+03        4.681831E-15
      2.28074E+03        5.255255E-15
      2.280759E+03        6.648056E-15
      2.280777E+03        6.597094E-15
      2.280796E+03        3.932933E-15
      2.280815E+03        1.099373E-15
      2.280834E+03        1.908818E-15
      2.280852E+03        5.297392E-15
      2.280871E+03        5.664921E-15
      2.28089E+03        2.835452E-15
      2.280909E+03       -5.396839E-16
      2.280927E+03       -1.210779E-15
      2.280946E+03        3.237947E-15
      2.280965E+03        6.235067E-15
      2.280984E+03        4.845966E-15
      2.281003E+03        3.801303E-15
      2.281021E+03        5.829769E-15
      2.28104E+03        7.306233E-15
      2.281059E+03        5.675769E-15
      2.281078E+03        4.694812E-15
      2.281096E+03        4.487338E-15
      2.281115E+03        3.941046E-15
      2.281134E+03        4.697368E-15
      2.281153E+03        5.563759E-15
      2.281171E+03        3.977314E-15
      2.28119E+03        2.717803E-15
      2.281209E+03        4.804971E-15
      2.281228E+03        6.190784E-15
      2.281247E+03        6.306581E-15
      2.281265E+03        6.818124E-15
      2.281284E+03        5.377752E-15
      2.281303E+03        4.057434E-15
      2.281322E+03        6.143525E-15
      2.28134E+03        8.359289E-15
      2.281359E+03         1.15692E-14
      2.281378E+03        1.449943E-14
      2.281397E+03        1.146407E-14
      2.281415E+03        9.200911E-15
      2.281434E+03        1.200977E-14
      2.281453E+03         1.34816E-14
      2.281472E+03        1.134054E-14
      2.28149E+03        1.037973E-14
      2.281509E+03        9.908523E-15
      2.281528E+03        7.948236E-15
      2.281547E+03        8.051753E-15
      2.281566E+03        9.634094E-15
      2.281584E+03        1.078699E-14
      2.281603E+03        1.104981E-14
      2.281622E+03         1.07811E-14
      2.281641E+03        1.166421E-14
      2.281659E+03        1.391755E-14
      2.281678E+03        1.437969E-14
      2.281697E+03        1.230403E-14
      2.281716E+03        1.180103E-14
      2.281734E+03        1.226227E-14
      2.281753E+03        1.053899E-14
      2.281772E+03        6.978954E-15
      2.281791E+03        5.794779E-15
      2.281809E+03        8.535141E-15
      2.281828E+03        1.049482E-14
      2.281847E+03         1.07931E-14
      2.281866E+03        1.064607E-14
      2.281885E+03        8.419679E-15
      2.281903E+03         7.32806E-15
      2.281922E+03        9.350854E-15
      2.281941E+03        1.136786E-14
      2.28196E+03        1.229932E-14
      2.281978E+03        1.148015E-14
      2.281997E+03        1.041936E-14
      2.282016E+03         1.09704E-14
      2.282035E+03        1.275372E-14
      2.282053E+03        1.394078E-14
      2.282072E+03        1.442821E-14
      2.282091E+03        1.413592E-14
      2.28211E+03        9.956472E-15
      2.282128E+03        6.389039E-15
      2.282147E+03        9.142177E-15
      2.282166E+03        1.253861E-14
      2.282185E+03        1.317147E-14
      2.282203E+03        1.318009E-14
      2.282222E+03        1.433062E-14
      2.282241E+03        1.496875E-14
      2.28226E+03         1.33551E-14
      2.282278E+03        1.219234E-14
      2.282297E+03        9.954664E-15
      2.282316E+03        9.632237E-15
      2.282335E+03        1.318332E-14
      2.282354E+03        1.432688E-14
      2.282372E+03        1.317897E-14
      2.282391E+03        1.263281E-14
      2.28241E+03        1.384698E-14
      2.282429E+03         1.48568E-14
      2.282447E+03        1.250833E-14
      2.282466E+03        1.137175E-14
      2.282485E+03        1.412172E-14
      2.282504E+03        1.521255E-14
      2.282522E+03        1.350033E-14
      2.282541E+03         1.24683E-14
      2.28256E+03         1.00275E-14
      2.282579E+03        8.102669E-15
      2.282597E+03        1.152301E-14
      2.282616E+03        1.388989E-14
      2.282635E+03        1.168148E-14
      2.282654E+03        1.014403E-14
      2.282672E+03        1.082278E-14
      2.282691E+03        1.215355E-14
      2.28271E+03        1.348002E-14
      2.282729E+03        1.306327E-14
      2.282747E+03        9.686302E-15
      2.282766E+03        7.662394E-15
      2.282785E+03        9.723162E-15
      2.282804E+03        1.136056E-14
      2.282822E+03        1.097039E-14
      2.282841E+03        1.152173E-14
      2.28286E+03        1.315485E-14
      2.282879E+03        1.316203E-14
      2.282897E+03        1.098644E-14
      2.282916E+03        9.129459E-15
      2.282935E+03        8.309578E-15
      2.282954E+03        7.707224E-15
      2.282972E+03        7.472232E-15
      2.282991E+03        7.985944E-15
      2.28301E+03          8.6906E-15
      2.283029E+03        1.034673E-14
      2.283047E+03        1.535183E-14
      2.283066E+03        1.784095E-14
      2.283085E+03        1.239357E-14
      2.283104E+03        7.449562E-15
      2.283122E+03        5.444728E-15
      2.283141E+03        4.445917E-15
      2.28316E+03        8.956888E-15
      2.283179E+03        1.289729E-14
      2.283197E+03        1.223172E-14
      2.283216E+03        1.222779E-14
      2.283235E+03        1.267121E-14
      2.283254E+03        1.216645E-14
      2.283272E+03        1.148289E-14
      2.283291E+03        1.043513E-14
      2.28331E+03         8.90276E-15
      2.283329E+03        9.832015E-15
      2.283347E+03        1.327073E-14
      2.283366E+03        1.380586E-14
      2.283385E+03        1.001238E-14
      2.283404E+03        7.497085E-15
      2.283423E+03        1.023615E-14
      2.283441E+03        1.313211E-14
      2.28346E+03        1.014773E-14
      2.283479E+03        7.393552E-15
      2.283498E+03        1.159872E-14
      2.283516E+03        1.507194E-14
      2.283535E+03        1.464498E-14
      2.283554E+03        1.454586E-14
      2.283573E+03         1.47421E-14
      2.283591E+03        1.476445E-14
      2.28361E+03        1.178632E-14
      2.283629E+03        8.659782E-15
      2.283647E+03        1.056098E-14
      2.283666E+03        1.186587E-14
      2.283685E+03        7.964928E-15
      2.283704E+03         5.69589E-15
      2.283722E+03        8.259881E-15
      2.283741E+03        9.155627E-15
      2.28376E+03        6.656593E-15
      2.283779E+03        6.061078E-15
      2.283797E+03        5.948257E-15
      2.283816E+03        4.298034E-15
      2.283835E+03        5.208394E-15
      2.283854E+03        7.790609E-15
      2.283872E+03         9.45816E-15
      2.283891E+03        8.910602E-15
      2.28391E+03        6.010254E-15
      2.283929E+03        4.834371E-15
      2.283947E+03        7.573103E-15
      2.283966E+03        9.134486E-15
      2.283985E+03        7.018462E-15
      2.284004E+03         5.90018E-15
      2.284022E+03        6.370318E-15
      2.284041E+03         5.65303E-15
      2.28406E+03        5.373864E-15
      2.284079E+03        5.884191E-15
      2.284097E+03        6.023721E-15
      2.284116E+03        6.089983E-15
      2.284135E+03         5.80347E-15
      2.284154E+03         6.07871E-15
      2.284172E+03         7.94917E-15
      2.284191E+03        9.167532E-15
      2.28421E+03        7.716424E-15
      2.284229E+03        5.807102E-15
      2.284247E+03        4.919041E-15
      2.284266E+03        4.233887E-15
      2.284285E+03        3.504965E-15
      2.284304E+03        3.571466E-15
